Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
7.48,8.64,0.88,0.226,A7V,17.162569,0
7.84,7.83,0.98,1.034,K2III,17.30881,1
8.74,10.01,1.45,0.624,G0V,18.742168,0
7.99,8.11,0.88,0.456,F2/F3V,17.535105,0
5.59,1.15,0.54,0.174,A3Ib,10.893489,1
9.0,0.7,1.39,1.26,K2III,13.225491,1
9.33,4.78,1.12,0.802,G5IV,17.727139,1
8.88,0.56,0.96,0.23,A3V,12.62094,0
8.79,2.23,0.94,0.1,A0IV,15.531525,1
9.09,7.63,1.17,0.357,F2V,18.502623,0
6.42,3.66,0.71,0.038,A1IV/V,14.237406,1
10.69,0.73,1.28,-0.077,B0III,15.006614,1
7.73,3.32,0.72,1.4,K2III,15.3356905,1
7.73,4.87,0.86,1.139,K0III,16.167645,1
6.18,5.46,0.87,1.257,K2IV,14.865963,1
8.6,3.67,1.25,0.174,A0IV/V,16.42333,1
7.92,48.04,1.03,0.974,K2V,21.328014,0
6.36,6.69,0.73,-0.081,B8/B9V,15.487131,0
6.04,3.84,0.71,1.277,K1/K2II,13.961657,1
8.39,8.75,1.05,0.639,G0V,18.10004,0
5.95,4.86,0.8,1.153,K1III,14.383181,1
6.83,4.01,0.85,1.601,K5/M0III,14.845722,1
6.77,10.34,0.74,0.173,A2V,16.842604,0
8.57,3.43,1.0,1.391,K2III,16.24647,1
6.34,-0.36,0.55,0.317,A9Ib-II,9.121513,1
8.31,2.38,1.03,1.523,K4/K5III,15.192885,1
7.39,2.1,0.85,-0.05,B9III,14.001097,1
8.92,6.05,1.01,0.37,F0IV,17.828777,1
7.23,2.39,0.83,1.058,K0III,14.12199,1
6.65,10.39,0.79,0.558,F7V,16.733076,0
4.88,8.95,0.58,-0.054,B9Vn,14.639115,0
8.4,2.59,1.11,1.14,K1III,15.466498,1
8.47,1.17,0.99,1.471,K3III,13.810929,1
7.79,0.64,0.73,0.116,B9II,11.8209,1
9.88,2.66,1.42,0.76,G6III,17.00441,1
9.28,6.08,1.31,0.682,G5V,18.199516,0
9.13,2.22,1.14,1.1,G8III,15.861765,1
7.6,0.33,0.74,1.816,K4/K5Ib:,10.19257,1
8.05,4.14,0.68,-0.02,B8V,16.135002,0
9.77,1.01,1.37,1.01,G9III,14.791607,1
8.8,3.12,0.94,0.106,B8/B9IV/V,16.270773,1
8.72,15.37,1.22,0.639,K0/K1III+..,19.65337,1
7.7,0.9,0.91,-0.11,B1III,12.471212,1
5.36,11.8,0.75,-0.001,A1V,15.71941,0
6.49,8.71,0.74,0.243,A9III,16.19009,1
8.8,0.41,1.12,0.798,G5IIIm,11.863919,1
10.78,20.12,1.9,1.17,K7V,22.29814,0
8.52,0.31,1.06,1.13,K0III,10.976809,1
8.38,11.59,1.09,0.647,G3V,18.700417,0
8.11,5.01,1.41,1.041,K0III,16.609188,1
6.94,2.04,0.87,1.57,M4III,13.488152,1
8.53,11.74,1.12,0.561,G0V,18.87834,0
8.27,11.01,0.93,0.418,F3V,18.478937,0
7.85,8.07,0.93,0.547,F8IV,17.384367,1
8.54,11.17,1.13,0.484,F5V,18.780266,0
10.35,3.62,1.76,0.586,G2/G3V,18.143543,0
7.98,6.36,1.01,0.947,G8/K0III,16.997286,1
9.42,2.0,1.01,0.144,B9IV/V,15.92515,1
8.76,4.32,1.17,1.101,K1III,16.93742,1
8.26,3.69,0.97,0.906,G8III,16.09513,1
8.29,3.29,1.16,1.27,K2IV,15.875979,1
7.3,3.05,0.78,1.208,K1III,14.721499,1
8.54,6.59,0.99,0.851,K1IV,17.634426,1
7.96,1.36,1.14,-0.026,B8/B9III,13.627695,1
6.21,3.98,0.53,1.61,M2III,14.209415,1
8.45,7.64,1.07,0.36,F0V,17.865467,0
8.96,4.14,1.08,1.341,K3III,17.045002,1
7.95,6.46,1.07,0.99,K0III,17.001163,1
7.84,13.21,1.8,0.307,A9IV,18.444515,1
7.57,5.7,0.88,0.073,A2V,16.349375,0
9.41,5.21,1.3,0.492,F5V,17.994188,0
9.88,1.46,1.58,1.19,K0III,15.701765,1
8.86,2.79,1.07,0.254,A3V,16.08802,0
8.2,1.69,1.68,0.202,A0/2V + A9:,14.339434,0
8.54,5.26,1.07,0.204,A3IV,17.144928,1
9.67,0.19,1.32,0.112,B9.5V:,11.063768,0
8.31,1.85,0.92,1.056,G6II/III,14.645859,1
7.98,5.13,1.14,1.311,K3III,16.530586,1
8.54,0.94,1.13,1.147,K0III,13.40564,1
8.02,3.61,1.07,1.489,K4III,15.807537,1
6.28,6.13,0.81,1.22,K2III,15.217302,1
5.54,77.48,0.8,0.76,K0IV,19.985949,1
7.86,3.09,0.99,1.193,K1/K2III,15.309793,1
8.28,8.29,0.94,0.434,F3V,17.872772,0
8.12,15.2,1.08,0.523,F6V,19.029219,0
8.98,2.54,2.03,1.0,G8III,16.004168,1
7.89,2.14,0.89,-0.03,B7/B8II,14.5420685,1
5.28,1.86,0.77,-0.192,B2IV,11.627565,1
4.65,9.16,0.85,0.122,A5V,14.459476,0
8.31,3.46,1.13,1.093,K0III,16.00538,1
8.48,4.8,1.12,0.221,A3III,16.886206,1
8.71,3.48,0.89,1.592,K3III,16.417896,1
8.18,-0.97,1.09,1.364,G6/8IIICNII,13.113859,1
8.14,3.38,1.05,1.238,K1III,15.784584,1
7.76,6.54,0.85,1.136,K0III,16.837889,1
6.32,5.31,0.82,1.204,G8III:,14.945473,1
8.84,4.15,1.1,0.343,A5IV,16.93024,1
8.51,1.33,1.18,0.289,A7V,14.129259,0
8.76,4.95,1.07,1.134,K1III,17.233025,1
8.94,3.04,0.86,0.04,B8V,16.354366,0
9.6,9.34,1.79,0.639,G2/G3V,19.451735,0
6.93,9.93,0.91,0.106,A1V,16.914745,0
9.3,4.6,1.45,0.645,F7V,17.613789,0
8.19,0.81,1.01,1.33,K2III,12.732425,1
9.42,14.84,1.01,0.726,G6/G8V:,20.27717,0
10.85,5.81,1.89,0.64,K0III,19.670881,1
7.55,2.82,0.97,1.069,K0III,14.801246,1
8.62,1.53,0.86,0.094,B8V,14.543457,0
9.0,0.96,1.18,1.128,K0III,13.911356,1
8.25,9.1,1.95,0.504,F7V,18.045208,0
8.48,1.59,0.86,0.04,B9V,14.486985,0
7.11,4.72,0.8,0.928,G8III,15.47971,1
9.67,1.32,1.56,0.94,G9III,15.27287,1
10.02,5.38,5.47,1.031,G9III,18.673912,1
6.16,10.56,0.7,-0.004,A1V,16.27832,0
9.13,8.6,3.1,0.557,G1V,18.802494,0
8.85,6.68,3.01,0.485,F6II,17.973883,1
8.49,1.04,1.04,1.007,K0III,13.575167,1
5.59,9.01,0.77,1.019,K0III,15.363625,1
8.62,15.45,1.06,0.671,G5IV,19.564644,1
7.39,7.21,1.84,0.217,A3III,16.679676,1
6.57,6.43,0.93,0.661,G0II,15.611055,1
6.95,4.62,0.64,1.249,K0III,15.27321,1
8.14,2.99,1.14,0.963,G8III,15.518356,1
9.48,1.77,1.26,1.093,G8/K0II/III,15.719866,1
6.91,17.8,1.0,0.586,G0V,18.1621,0
9.17,6.08,1.57,0.463,F3V,18.089518,0
6.87,9.53,0.57,0.043,A1V,16.765465,0
7.77,4.55,0.96,0.187,A3IV/V,16.060057,1
9.05,5.27,1.35,0.26,A4IV/V,17.659054,1
9.33,1.73,1.31,-0.011,B8II/III,15.520231,1
8.73,0.87,1.2,1.092,K0IV,13.427596,1
7.93,1.16,0.74,0.097,B9Ib/II,13.25229,1
10.52,42.0,2.81,1.419,M0V,23.636246,0
8.89,6.16,1.2,0.641,G0V,17.837904,0
8.76,0.9,0.95,1.046,K0III,13.531213,1
9.22,16.28,1.6,0.694,G3/G5V,20.278273,0
8.79,4.44,0.87,0.11,A0IV,17.026915,1
6.05,9.74,0.97,1.29,K3III,15.992795,1
8.34,1.35,1.1,1.173,K0V,13.991669,0
8.74,10.8,1.12,0.649,G2V,18.90712,0
9.35,4.74,1.31,0.59,F7V,17.728893,0
9.4,4.67,1.84,0.486,F0IV/V,17.746584,1
6.41,7.75,0.6,1.163,K1III,15.856508,1
6.64,18.05,0.84,0.86,G8Vw...,17.922386,0
8.05,4.02,0.81,0.06,B9V,16.07113,0
7.38,3.94,0.9,0.043,A0V,15.357481,0
7.7,1.37,0.86,1.562,K4III,13.383602,1
7.91,13.43,1.96,0.794,G8IV,18.55038,1
8.75,4.38,0.88,1.24,G8/K0III,16.95737,1
8.06,2.19,0.88,1.771,M5Ib/II,14.76222,1
5.89,10.57,0.54,-0.08,B9V,16.010374,0
7.74,7.35,1.0,1.129,K2III,17.071438,1
8.14,3.42,1.05,1.086,K1III,15.810131,1
8.25,3.01,1.16,1.515,K3III,15.642833,1
9.36,3.15,1.22,1.151,K1III,16.851553,1
8.28,1.37,1.0,1.644,M2III,13.963602,1
9.1,1.41,1.09,0.041,B9V,14.846096,0
8.42,0.4,0.87,0.185,A1IV,11.4303,1
7.72,12.42,0.66,0.51,F6V,18.190607,0
9.45,-0.14,1.31,1.294,K2III,10.18064,1
9.26,6.24,1.36,0.79,G5IV-V,18.235924,1
8.2,4.73,1.03,1.155,K0III,16.574306,1
6.78,0.57,0.62,0.043,B1II,10.559375,1
9.53,1.46,1.49,1.143,G8IV,15.351765,1
8.97,2.0,1.31,0.933,G8III,15.475151,1
7.83,3.37,0.95,1.62,K5III,15.468149,1
8.28,0.14,0.88,0.658,F6II,9.01064,1
8.59,9.32,1.16,0.809,G8/K0V,18.43708,0
6.69,2.64,0.82,1.386,K3III+...,13.798019,1
7.41,5.08,1.19,1.287,K2/K3III,15.939319,1
8.19,3.97,0.95,1.216,K1III,16.183952,1
9.06,5.37,1.6,0.441,F3IV/V,17.709873,1
7.53,2.53,1.41,0.114,A1V,14.545603,0
8.88,6.62,2.13,0.574,F7V,17.984291,0
9.65,3.34,1.38,0.801,G5V,17.268732,0
6.61,7.36,0.84,0.24,A7III,15.944389,1
8.27,4.56,1.06,0.18,A2V,16.564825,0
8.46,3.74,1.19,0.962,K0III,16.324358,1
10.05,23.18,1.75,1.098,K2V,21.875568,0
8.94,3.77,1.22,1.31,K2III,16.821707,1
8.46,3.9,1.12,1.028,G8III/IV,16.415323,1
8.3,-0.55,1.04,1.474,K3IV,12.001814,1
8.82,-0.57,1.29,-0.046,B9III,12.599374,1
8.85,0.85,1.34,1.177,K0/K1III,13.497095,1
9.11,7.11,1.17,0.815,G8V,18.369347,0
7.49,9.85,0.95,1.037,K0III,17.457182,1
7.79,0.64,0.72,-0.048,B0.5III,11.8209,1
8.15,7.77,2.83,1.096,K1III,17.602104,1
8.11,3.41,0.86,1.175,K0III,15.773771,1
8.01,8.87,0.79,0.792,G5IV,17.749619,1
7.74,3.03,0.97,1.127,K1III,15.147213,1
7.59,1.43,0.75,-0.037,B2Vne,13.36668,0
7.35,2.48,1.0,1.502,M3III,14.322258,1
6.51,21.43,0.98,0.5,F7V,18.165112,0
8.65,5.87,1.2,1.053,K0III,17.49319,1
9.2,3.48,1.29,1.518,M3III,16.907896,1
5.15,41.32,0.76,0.417,F6V,18.230803,0
8.52,0.86,0.83,0.083,B9.5IV,13.1924925,1
6.44,3.54,0.61,1.198,G6III,14.185017,1
8.07,17.96,2.07,0.645,G2/G3III,19.341532,1
7.94,2.0,1.36,-0.004,B6/B7IV,14.44515,1
8.74,22.38,4.49,0.716,G8/K0V,20.4893,0
7.45,13.04,0.84,0.465,F3V,18.02639,0
10.95,2.5,2.25,1.043,K0III,17.939701,1
6.99,3.76,0.8,0.876,G3III,14.865939,1
7.91,1.63,0.93,1.587,K3III,13.970938,1
8.05,0.59,1.08,1.543,K3III,11.904261,1
9.16,2.09,2.08,0.8,G6III/IV,15.760732,1
8.29,11.89,1.07,0.477,F8V,18.665909,0
8.12,2.47,0.9,0.05,A0V,15.083485,0
9.16,2.77,1.14,0.8,G5III,16.372398,1
9.29,13.47,1.47,0.623,G3V,19.936838,0
8.99,1.62,1.25,1.017,K0III,15.037575,1
8.93,3.16,1.44,1.077,K0III,16.428436,1
9.21,15.97,1.26,0.585,G0V,20.226524,0
9.09,2.82,1.15,0.45,F3V,16.341246,0
9.59,-0.08,1.77,1.14,K1III,9.10545,1
6.74,1.97,0.61,1.139,K3III+A0IV/V,13.212331,1
7.93,9.83,0.93,1.152,K2III,17.892767,1
8.51,3.1,1.12,1.05,K0III,15.966808,1
8.73,1.33,0.95,0.09,B9V,14.349258,0
7.55,5.43,0.92,0.004,A0/A1Vn...,16.223999,0
8.1,5.77,0.98,0.328,A9V,16.90588,0
5.89,9.09,1.4,0.248,F0IV-V,15.682819,1
6.48,8.4,0.73,-0.046,B9V,16.101397,0
7.86,4.98,0.97,0.175,A2II,16.346148,1
4.72,4.33,0.53,-0.081,B2IV,12.902439,1
8.76,2.98,1.09,1.09,K0III,16.13108,1
6.27,13.11,0.5,0.56,F6V,16.858015,0
8.01,3.15,0.79,1.247,G8/K0Ib/II,15.501553,1
7.47,16.38,0.95,0.427,F6V,18.541569,0
7.93,4.72,1.03,0.195,A4/A5IV,16.29971,1
9.58,1.09,1.48,1.0,G9III,14.767132,1
7.72,2.6,0.88,-0.048,B9III,14.794867,1
5.34,9.61,0.58,-0.012,A0V,15.253617,0
8.8,0.6,1.18,0.088,B9IV,12.690757,1
8.33,3.98,1.15,0.956,G8III,16.329414,1
9.94,4.86,1.83,1.07,K0III,18.37318,1
7.4,4.67,0.82,1.055,K1III,15.746584,1
8.79,2.99,1.05,1.453,K4III,16.168356,1
7.7,5.6,0.94,0.474,F5III,16.44094,1
8.89,0.6,1.61,0.861,K2/K3III+..,12.780757,1
8.41,8.74,1.13,0.416,F3V,18.117558,0
9.09,9.1,1.16,0.611,G3V,18.885208,0
6.3,9.22,0.67,-0.034,B9Vn,16.123655,0
5.04,7.4,0.49,1.491,K4III,14.386159,1
7.4,1.02,1.79,0.205,B8Ib-II...,12.443001,1
7.57,1.02,1.79,0.626,F0Ib-II,12.613001,1
8.35,3.77,0.77,1.141,K0III,16.231709,1
7.83,4.32,1.0,0.986,G8III/IV,16.00742,1
8.21,3.86,1.05,0.996,K0III,16.142937,1
8.11,3.6,0.77,0.184,B9.5IV/V,15.891512,1
10.66,18.36,2.03,1.02,K1V,21.979362,0
5.95,4.93,0.58,1.691,M2III,14.414234,1
8.34,3.08,0.93,0.518,F3II/III,15.782753,1
8.57,1.66,1.14,1.022,G8III,14.67054,1
7.43,3.97,0.76,1.692,K5III,15.423952,1
9.87,10.86,1.44,0.688,G5V,20.049149,0
8.72,2.35,1.04,1.015,K0III,15.57534,1
7.71,3.17,0.68,1.619,K4III,15.215297,1
8.14,5.71,0.99,1.268,K1III,16.92318,1
8.72,5.75,1.23,0.84,G7III,17.518341,1
6.64,5.44,0.69,0.896,G8III,15.317995,1
7.46,1.0,0.84,1.653,M2III,12.46,1
7.5,5.79,0.65,1.113,G9III,16.313393,1
4.12,19.08,0.77,0.967,G8III,15.522892,1
8.16,30.58,1.02,0.754,G8V,20.587187,0
7.78,27.73,0.94,0.651,G5V,19.99475,0
5.78,9.8,0.52,1.029,G9III,15.73613,1
6.96,2.4,0.85,1.097,G8III,13.861056,1
7.23,6.52,0.98,0.955,G8/K0III,16.301237,1
9.87,3.3,1.54,0.98,G9III,17.46257,1
8.28,2.31,1.17,1.15,K0III,15.09806,1
8.23,1.66,1.05,1.296,K2III,14.33054,1
9.09,6.28,1.18,0.74,G5IV,18.0798,1
8.6,7.74,1.14,0.475,F5/F6V,18.043705,0
8.01,1.85,1.03,1.568,K5III,14.34586,1
8.13,2.53,0.85,1.393,K1IIICN...,15.145603,1
8.18,0.61,1.0,1.306,K3III,12.106649,1
7.89,7.51,0.7,0.328,F0IV/V,17.2682,1
9.04,3.45,1.46,0.125,B9.5V,16.729095,0
8.67,3.35,1.24,1.16,K1III,16.295223,1
7.39,4.08,1.01,1.074,K0III,15.4433,1
7.09,4.37,1.68,0.632,G8III compSB,15.292408,1
6.14,8.73,0.69,1.178,K2III,15.845072,1
8.84,1.63,1.16,0.848,G3III/IV,14.900938,1
9.12,1.94,1.35,1.209,K1III,15.559009,1
8.21,2.44,1.01,1.151,K2III,15.14695,1
8.89,9.78,1.16,0.631,G1V,18.841694,0
8.89,-0.35,1.15,1.537,K5III,11.61034,1
7.38,1.74,0.67,0.019,B0Iab:pe,13.5827465,1
9.99,44.41,1.51,1.336,K5V,23.227404,0
6.3,-0.39,0.61,0.152,B8Ia-Iab,9.255323,1
8.8,3.74,2.93,0.624,G2V,16.664358,0
6.23,4.48,0.78,-0.073,B7V,14.486389,0
8.39,3.68,1.09,1.536,K2IV/V,16.21924,1
6.37,6.54,0.92,0.997,G8III:,15.447888,1
7.8,5.73,0.81,0.089,A1V,16.590775,0
7.99,2.3,0.97,1.593,K5III,14.798639,1
7.03,11.03,0.79,1.065,K1III,17.242878,1
8.91,8.8,1.14,0.787,G8V,18.632412,0
6.49,19.48,1.01,0.623,G0V,17.937944,0
8.98,1.86,1.2,1.235,K1III,15.327564,1
8.95,3.62,1.16,0.874,G7III,16.743542,1
9.57,0.46,1.33,-0.021,B2IVe,12.883789,1
8.76,13.06,1.23,0.594,G1V,19.339716,0
9.22,14.78,1.23,0.678,G5V,20.06837,0
9.22,10.07,2.48,0.73,G6IV,19.235146,1
7.17,15.86,0.66,0.553,G0V,18.171516,0
6.55,2.97,0.63,1.838,M2III,13.913782,1
8.05,5.99,1.17,1.235,K2IIICN...,16.937134,1
6.91,2.85,0.82,1.391,K2/K3V,14.184224,0
8.65,7.96,1.09,0.428,F3V,18.154564,0
9.52,3.6,1.42,0.378,F0V,17.301514,0
8.14,0.96,0.96,1.119,K0II,13.051356,1
8.53,3.81,1.34,1.166,K1III,16.434624,1
7.28,5.91,0.8,0.986,K0III,16.137938,1
9.18,3.88,1.68,0.4,G3V,17.124159,0
7.55,1.42,0.74,0.015,B3III,13.311441,1
7.54,2.7,0.86,1.5,K5III,14.696819,1
7.66,1.39,0.87,0.098,A0/A1V,13.375074,0
6.23,1.73,0.55,1.237,G3Ib,12.420231,1
8.6,2.57,1.08,0.932,K0III,15.649666,1
5.95,5.76,0.71,0.613,G8/K0III,14.752112,1
9.39,10.73,1.16,0.645,G2IV/V,19.543,1
8.61,6.01,0.99,1.043,K0III,17.504372,1
9.61,0.53,1.3,0.394,F7V,13.231379,0
6.63,6.84,0.79,1.017,K1III,15.805281,1
7.91,1.25,0.99,1.518,K4III,13.39455,1
8.27,0.16,1.05,1.34,K3III,9.2906,1
8.07,5.45,0.68,0.182,A1/A2IV,16.751984,1
8.64,7.38,1.19,0.51,F7V,17.980282,0
8.17,2.92,1.03,1.305,K1III,15.496914,1
8.41,2.52,0.97,1.14,K0III,15.417003,1
10.05,7.5,1.52,0.541,F8V,19.425306,0
8.32,1.97,0.81,0.13,B9IV,14.792331,1
10.35,4.93,2.81,0.178,A2IV,18.814236,1
4.14,50.79,0.51,0.353,F2III,17.66889,1
8.08,2.71,0.97,1.58,K5III,15.244846,1
8.5,2.83,1.01,0.876,G6IV,15.758932,1
9.35,20.0,2.19,0.773,G8/K0V,20.855152,0
8.35,2.74,1.05,1.31,K2III,15.5387535,1
8.82,15.92,1.13,0.595,F8V,19.829714,0
9.04,2.51,0.81,1.047,G8II,16.038368,1
8.64,7.35,1.0,0.23,F0V,17.971437,0
6.93,12.78,0.82,0.513,F7V,17.462654,0
8.67,0.29,1.09,1.497,K4IV,10.98199,1
9.64,10.9,1.42,0.65,G3V,19.827133,0
8.73,5.94,1.28,0.438,F3IV,17.59893,1
7.48,9.43,0.64,0.272,A9III/IV,17.352558,1
8.32,4.18,1.09,1.36,K4III,16.42588,1
9.05,-1.17,2.29,0.128,B2/B3II/III,14.390929,1
8.77,2.3,1.29,1.069,K1III,15.57864,1
8.61,3.05,1.07,-0.023,B8IV,16.031498,1
7.07,2.37,0.93,1.42,M5IIIvar,13.943742,1
6.81,16.09,0.63,0.465,F5V,17.842781,0
8.66,8.08,0.87,0.457,F3V,18.197056,0
8.33,7.55,1.18,0.358,F2/F3IV/V,17.719734,1
8.31,3.19,1.1,1.143,K1III,15.828954,1
8.07,4.29,1.03,0.93,G9IIICN...,16.232286,1
8.55,5.47,1.08,0.217,A2V,17.239937,0
9.13,5.97,1.09,0.402,F5V,18.009872,0
7.65,6.82,0.83,0.068,A1V,16.818922,0
7.21,9.3,0.76,0.422,F3IV,17.052414,1
8.91,2.35,1.14,1.08,K0III,15.765339,1
7.07,2.5,0.8,1.195,K0III,14.0597,1
8.64,3.81,1.11,1.153,K1III,16.544624,1
8.68,6.78,1.2,0.391,F3V,17.83615,0
7.31,4.04,0.78,0.015,B9V,15.3419075,0
6.72,30.43,0.78,0.532,F7V,19.13651,0
7.65,1.45,0.91,1.571,K4III,13.4568405,1
8.47,4.55,1.1,1.109,K0III,16.760057,1
7.92,4.12,0.95,0.223,A5III/IV,15.994486,1
8.3,14.58,0.99,0.526,F8V,19.118788,0
6.72,26.07,0.75,0.613,G2V,18.800705,0
8.39,0.5,1.12,1.52,K3III,11.88485,1
5.17,7.45,0.54,1.278,K2II/III,14.530782,1
9.94,2.9,1.48,1.0,K0III,17.25199,1
7.74,3.29,0.97,1.167,K1III/IV,15.325979,1
9.03,16.09,1.1,0.704,G5V,20.06278,0
9.55,7.26,1.35,0.662,G3V,18.854683,0
8.87,0.43,1.15,1.241,K2III,12.037342,1
8.5,10.83,1.15,0.482,F6V,18.673141,0
8.06,0.07,0.92,1.591,M2III:,7.2854905,1
8.01,6.62,0.94,0.065,A0V,17.11429,0
4.46,8.68,0.72,-0.163,B2IIIne,14.152598,1
7.43,7.54,0.88,0.023,A0V,16.816856,0
8.37,4.4,0.95,1.034,G8/K0III,16.587263,1
5.34,5.53,0.72,-0.01,A1V,14.053626,0
7.59,2.26,0.97,1.539,K3IV,14.360542,1
9.03,2.15,1.47,1.093,G8/K0III,15.692192,1
7.46,5.41,0.71,1.022,K0IV,16.125986,1
6.75,6.49,0.77,1.069,K2III,15.811223,1
7.89,5.33,2.23,0.436,F3V,16.523636,0
2.58,8.25,0.79,-0.128,B2IVne,12.16227,1
9.14,11.48,1.15,0.614,G2V,19.439709,0
6.22,1.51,0.63,1.733,K3/K4II,12.114884,1
4.02,67.71,0.75,0.334,F0IV/V,18.173264,1
8.62,1.62,1.01,1.553,K5III,14.667575,1
8.6,3.06,0.95,1.752,M2III,16.028606,1
9.92,9.3,2.0,0.632,G2/G3V,19.762415,0
6.97,4.84,0.8,1.023,K0III,15.394226,1
9.48,2.67,1.31,0.87,G8III,16.612556,1
8.69,1.95,1.25,1.06,K0III,15.140173,1
8.69,10.37,1.04,0.459,F5V,18.768894,0
8.95,3.9,1.1,1.082,K0III,16.905323,1
8.94,7.59,1.02,0.482,F5V,18.34121,0
7.14,8.69,0.8,0.43,F5IV/V,16.835098,1
8.07,2.04,0.88,-0.034,B8/B9V,14.618151,0
7.93,5.39,0.69,0.283,A6V,16.587944,0
9.23,-0.19,1.33,1.439,K3III,10.623768,1
9.46,3.02,1.23,0.507,F5V,16.860035,0
8.83,2.36,1.07,1.24,K1III,15.694559,1
9.08,15.38,0.92,0.751,G8IV/V,20.014782,1
7.42,5.07,0.85,1.03,K0III,15.94504,1
5.75,9.99,0.7,0.24,A3III,15.747828,1
9.28,4.31,1.25,0.345,A8II/IIIw,17.452385,1
5.51,1.56,0.72,-0.097,B3IV,11.475623,1
9.48,8.87,2.23,0.647,G2V,19.219618,0
8.34,3.73,0.93,1.404,K2III,16.198544,1
8.61,1.96,0.91,0.66,G2IIIm,15.0712805,1
8.6,5.39,1.1,0.187,A2/A3V,17.257944,0
6.85,10.48,0.58,0.254,A6III/IV,16.951807,1
9.15,7.59,1.19,0.34,F2V,18.551208,0
9.1,4.24,0.85,0.72,F3III/IV,17.23683,1
7.22,0.55,1.04,1.63,M1III,10.921813,1
8.84,13.05,1.03,0.574,F8V,19.418053,0
9.0,-0.44,3.41,0.477,F0V,12.217263,0
8.48,18.43,1.06,0.664,G5IV,19.807627,1
7.75,2.41,0.74,0.059,B8V,14.660086,0
9.25,5.15,1.13,1.0,K0IV,17.809036,1
7.93,13.17,0.82,0.532,F6V,18.52793,0
8.98,19.77,1.25,0.942,K2V,20.460033,0
8.95,6.77,1.01,0.516,F5V,18.102943,0
8.01,4.25,0.98,0.994,G9IIICN...,16.151945,1
8.02,3.32,0.98,1.341,K1III,15.62569,1
7.16,1.78,0.73,-0.061,B6V,13.4121,0
8.77,0.76,1.07,1.311,K2III,13.174068,1
7.98,6.47,0.87,0.194,A3V,17.034521,0
7.2,2.27,0.87,-0.063,B8II,13.980129,1
7.46,41.07,0.98,0.794,K0V,20.527622,0
7.45,6.12,1.17,0.101,A0/A1V,16.383757,0
7.39,9.25,0.86,0.163,A3V,17.220709,0
7.57,5.45,0.85,1.124,K2IIICN+...,16.251984,1
5.95,11.94,0.84,1.12,K3III,16.335022,1
8.14,0.03,1.29,0.042,O9V,5.5256066,0
6.74,1.67,1.03,0.921,G8/K0III+..,12.853582,1
6.34,13.85,0.54,0.511,F6IV,17.047249,1
7.76,7.62,0.91,0.188,A2III/IV,17.169775,1
8.16,0.28,1.12,1.56,K4IV,10.39579,1
8.54,7.03,1.08,0.464,G7V,17.774776,0
8.46,49.72,1.0,1.137,K5V,21.942657,0
9.41,6.54,1.2,0.48,F5V,18.487888,0
8.33,12.48,1.06,0.538,G0/G1V,18.811073,0
6.16,9.92,1.02,0.03,A0V,16.14256,0
8.43,1.48,1.1,1.088,K0III,14.281309,1
9.18,3.95,1.35,0.405,F2V,17.162987,0
6.63,13.46,0.8,0.48,F6V,17.275227,0
8.76,11.78,0.97,0.509,F9V,19.115726,0
8.16,26.43,1.03,0.707,G5V,20.270485,0
3.02,10.75,0.71,1.326,K2III,13.177042,1
9.05,20.09,1.3,0.754,G6V,20.5649,0
9.25,2.03,1.32,1.53,K4III,15.78748,1
9.51,10.61,3.34,0.711,G8V,19.638577,0
8.31,2.9,1.08,0.91,G8III,15.62199,1
8.89,4.29,1.21,0.38,F0IV,17.052288,1
8.93,7.65,1.21,0.534,F7V,18.348309,0
8.91,2.51,1.1,1.453,K2/K3III:,15.908368,1
8.59,12.8,1.01,0.568,G0Vm,19.126049,0
8.63,1.63,1.06,1.033,K0III,14.690939,1
9.56,-0.41,1.35,1.41,K1V,12.6239195,0
7.48,3.76,0.91,1.494,K5III,15.35594,1
9.67,12.38,1.52,0.798,G8V,20.133602,0
8.23,8.68,1.17,0.493,F5V,17.922598,0
8.08,11.12,0.87,0.42,F3V,18.310524,0
8.96,8.29,1.1,0.739,G5V,18.552773,0
8.54,9.02,1.08,0.585,G1V,18.316032,0
8.68,4.64,0.86,0.562,F8V,17.01259,0
10.86,-2.7,1.95,1.032,K0III,18.016819,1
7.48,3.9,0.85,0.994,G9III,15.435324,1
8.84,7.64,0.87,0.406,F2V,18.255466,0
7.48,3.61,0.8,0.092,A0/A1V,15.267536,0
8.2,2.84,1.03,0.095,A0V,15.466592,0
6.4,3.61,0.89,0.07,A4V,14.187536,0
6.07,13.96,0.72,0.19,A5V,16.794428,0
8.65,17.53,1.12,0.618,G3V,19.86891,0
8.35,3.01,1.04,0.999,G8III,15.742833,1
6.97,10.96,0.78,0.127,A3V,17.169052,0
8.4,3.29,0.99,0.013,B9V,15.985979,0
6.01,10.6,0.79,0.123,A4Vn,16.136528,0
7.33,4.95,0.81,1.102,K0III,15.803025,1
7.73,5.18,0.91,0.995,K0III,16.30165,1
8.69,3.66,1.08,1.048,K0III,16.507404,1
10.61,47.05,1.88,1.34,M2V,23.972797,0
7.52,26.55,0.86,0.57,G0/G1V,19.640324,0
9.9,7.86,2.68,0.685,G6III,19.377113,1
9.28,3.58,1.29,0.137,A0V,17.049416,0
6.0,2.96,0.52,1.618,K5III:,13.356459,1
