Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
8.26,1.69,1.27,1.052,G4V:p,14.399433,0
7.71,5.05,0.64,1.093,K0III,16.226456,1
9.16,9.89,1.18,0.782,G8IV,19.135983,1
7.39,4.76,0.99,0.99,K0III,15.778034,1
7.78,4.79,0.99,1.123,K0III,16.181679,1
7.47,2.01,0.96,1.62,M3III,13.98598,1
8.82,18.57,0.95,0.666,G5V,20.164059,0
9.45,-1.03,1.35,0.995,G8III/IV,14.514186,1
9.73,6.89,1.46,0.725,G5V,18.921095,0
7.36,4.25,0.72,0.993,K0III,15.5019455,1
7.36,2.3,0.82,1.444,K3/K4III,14.168639,1
8.47,0.47,0.94,-0.18,B1.5IV,11.83049,1
6.99,4.25,0.78,1.187,K0III,15.131945,1
5.55,8.75,0.8,0.901,G5III,15.26004,1
9.91,5.59,1.7,0.353,A9/F0V,18.64706,0
9.67,2.19,1.68,0.524,F3/F5V,16.372221,0
8.6,1.87,1.29,1.1,K1III,14.9592085,1
9.66,-0.26,1.41,0.787,G5V,11.734866,0
9.37,6.18,1.34,0.507,F6V,18.324944,0
9.99,7.92,1.61,0.646,G5/G6V,19.483627,0
7.51,24.85,0.92,0.595,G0V,19.486633,0
8.99,12.99,0.94,0.585,F8V,19.558046,0
9.71,0.87,1.53,0.915,G8IV/V,14.407597,1
8.55,4.19,1.14,1.357,K3III,16.661072,1
6.62,2.9,0.77,1.531,K5III,13.93199,1
7.51,5.66,0.82,1.112,K1III-IV,16.274082,1
8.51,1.8,0.83,1.576,K3III,14.786363,1
9.67,13.05,1.67,0.633,G3V,20.248053,0
7.9,4.39,0.96,-0.03,B9V,16.112322,0
9.82,5.66,1.65,0.418,F2V,18.584082,0
8.57,-0.16,1.12,1.612,M1III,9.590599,1
8.89,5.95,1.14,0.476,F5IV/V,17.762585,1
5.98,49.3,1.05,0.687,G5V,19.444233,0
7.92,5.38,1.67,0.459,F3IV,16.573912,1
5.7,39.0,0.64,0.519,G1IV...,18.655323,1
8.75,7.24,1.32,0.487,F6/F7V,18.048693,0
7.31,6.73,0.9,0.402,F2IV,16.450075,1
8.35,8.11,0.91,0.624,G1V,17.895105,0
5.57,3.32,0.54,-0.023,B9III,13.175691,1
9.85,4.6,1.18,0.526,F6V,18.16379,0
9.16,-1.67,1.78,1.045,G8III,15.273582,1
9.03,3.63,1.27,1.349,K1/K2III:,16.829533,1
9.35,3.91,1.56,0.41,F2V,17.310884,0
6.68,5.13,0.79,0.986,G9III,15.230587,1
9.69,10.02,3.4,0.578,F6V,19.69434,0
6.07,72.98,0.75,0.752,K0V,20.38602,0
7.71,5.02,0.87,1.038,G8III,16.21352,1
8.56,5.61,1.12,0.548,F7V,17.304813,0
9.83,2.3,10.4,0.587,G2/G3V,16.63864,0
8.72,6.36,0.97,0.41,F4IVws,17.737286,1
6.19,25.59,0.75,0.386,F2IV,18.230352,1
10.18,0.77,1.61,0.58,F5V,14.612453,0
6.91,3.69,0.8,1.123,K0III,14.7451315,1
8.79,1.16,1.17,1.234,K3III,14.112289,1
10.24,3.82,3.43,0.402,F2/F3V,18.150318,0
7.62,3.73,0.94,0.955,G8III,15.478544,1
8.96,4.04,1.13,0.446,F3IV/V,16.991907,1
9.52,4.4,1.07,0.19,A0V,17.737263,0
8.68,7.89,2.34,0.529,F5V,18.165386,0
8.65,4.33,1.16,0.061,A1V,16.83244,0
8.41,5.14,1.01,0.405,F3V,16.964815,0
9.31,6.51,1.2,0.226,A9V,18.377907,0
10.28,6.34,2.0,0.503,F3V,19.290447,0
7.56,11.92,0.61,0.419,F5IV-V,17.941381,1
8.23,17.18,1.0,0.599,F8/G0V,19.405115,0
8.52,2.2,1.24,1.084,K1III,15.232114,1
6.2,6.24,0.85,0.133,A2IV/V,15.175923,1
